cocktail_name,alcohol_concentration(%),total_volume(ml)
Pamplemousse,11.5,100
Panama,21.5,150
Pancho Villa,15.8,212
Paradise,29.6,70
Parisian Blond,19.7,75
Park Avenue Cocktail,26.7,95
Passbour Cooler,17.2,132
Passion Cocktail,19.9,200
Passion Fruit Caipirinha,33.8,70
Passion Fruit Daiquiri,16.9,88
Passion Fruit Martini,26.7,92
Passion Fruit Sangria,8.3,933
Passion Fruit Vodkatini,31.5,62
Passion Punch,26.4,112
Patriot Sangria,9.8,959
Peach Batida,16.4,145
Peach Cosmopolitan,19.4,100
Peach Julius,1.6,106
Peach Long Island,21.2,216
Peach Margarita,34.0,52
Peach Mojito,19.3,102
Peach Pomegranate Holiday Martini,11.8,76
Pear and Cardamom Sidecar,17.4,75
Pear and Elderflower Martini,18.0,110
Pearl Harbour,33.2,75
Pegu,36.0,64
Peppermint Froth,31.1,88
Peppermint Kiss,13.1,135
Perfect Manhattan,44.1,71
Perfect Storm,17.3,125
Perroquet,43.4,38
Phil Collins,0.0,157
Pina Colada,10.0,200
Pina Martini,19.6,101
Pineapple Mojito,31.7,125
Pineapple Punch,16.0,155
Pineapple Sangria,10.2,980
Pink Campari,26.0,68
Pink Elephant,7.4,262
Pink Flamingo,39.4,76
Pink Gin,39.1,28
Pink Grapefruit Margarita,21.4,92
Pink Honey Martini,32.4,57
Pink Lady,27.5,64
Pink Russian,1.5,100
Pink Squirrel,16.6,78
Pinky Pincher,14.4,138
Pirates Treasure,38.3,40
Pisco Sour,20.8,93
Pixie Stick,30.1,75
Planters Punch,18.3,113
Playa Del Mar,14.9,100
Plum & Vanilla Fizz,14.7,101
Poinsettia,5.6,88
Polar Bear Cooler,12.4,190
Polar Bear Drink,39.2,50
Polar Bear in Blizzard,37.8,75
Polished Princess,18.5,70
Pomegranate – Pineapple Fireworks,16.9,38
Pomegranate Gin Fizz,33.5,65
Pomegranate Poinsettia,15.5,150
Pompanski Martini,22.9,101
Pomspresso Tini,15.9,83
Pontberry Martini,16.8,100
Popper,22.7,50
Porch Crawler,9.7,3300
PornStar,27.3,30
Porto Flip,25.8,65
Prairie Fire,38.5,25
Presbyterian,15.4,150
Prince of Wales,16.7,35
Problem Solver,44.5,68
Pucker Up,35.2,56
Purple Haze,33.5,50
Purple Hooter,29.0,75
Purple Turtle,38.7,30
Purple Viking,20.0,118
Quentao,23.9,200
Rabo-de-Galo,36.8,30
Ramos Gin Fizz,15.2,131
Raspberry Bellini,34.8,61
Raspberry Caipirinha,32.2,66
Raspberry Cobbler,17.6,112
Raspberry Collins,22.6,88
Raspberry Cosmopolitan,22.6,88
Raspberry Daiquiri,26.3,75
Raspberry Lemonade Sangria,5.5,1362
Raspberry Margarita,23.4,106
Raspberry Martini,33.1,78
Raspberry Mojito,17.8,125
Raspberry Press,35.1,56
Raspberry Ripple,17.6,112
Raspberry Truffle,32.3,65
Rasputin,11.0,158
Red Beer,3.9,400
Red Cloud,28.9,75
Red Corvette,20.2,60
Red Lotus,22.6,100
Red Sea Sunrise,0.0,150
RedHeaded Slut,29.2,100
REDRUM,18.9,110
Reno,0.0,92
Resolution Martini,34.1,112
Reverb Crash,10.0,200
Rhett Butler,22.6,88
Rimbauds Left Hand,30.5,100
Ripley,29.2,68
Roasted Toasted Almond,35.5,75
Roasted Toasty,36.0,30
Rob Burns,33.4,72
Rob Roy,33.4,71
Rock Lobster,20.3,40
Ron Collins,24.1,82
Root Beer Float,25.4,75
Rosabel,15.6,46
Rose,39.4,62
Rose & Berry Sangria,7.8,982
Rose Kennedy Cocktail,17.9,66
Rose Royce,18.0,57
Rosemary,39.5,75
Rosemary Mac,28.6,75
Rossini,0.0,38
Rosy Dawn,29.6,80
Rosy Rum Cosmo,22.5,80
Rourou,31.2,35
Roy Rogers,0.0,155
Royal Arrival,30.3,89
Royal Bermuda,25.3,100
Royal Duchess,8.1,150
Royal Hawaiian,14.2,105
Royal Manhattan,33.4,71
Royal Smash,37.3,50
Royal Widow,33.4,60
Rubus,21.8,114
Ruby Manhattan,41.6,71
Ruby Martini,21.2,166
Ruby Negroni,18.4,130
Rum Bongo,8.6,225
Rum Cocktail,28.8,68
Rum Punch,12.3,288
Rum Runner,27.0,112
Rum Swizzle,19.5,456
Russell Collins,19.9,52
Russian Quaalude,25.3,75
Russian Spring Punch,17.7,60
Russian Sunrise,11.9,150
Rusty Nail,39.5,75
Sabai Sabai,13.7,95
Sage Lady,26.0,76
Saigon Cooler,13.9,158
Sake Bomb,5.0,590
Sake Screwdriver,4.0,200
Saketini,37.9,75
Salty Dog,19.1,122
Sangria,15.0,878
Santa Shot,24.6,60
Saratoga Brace Up,50.9,62
Satans Whiskers,25.7,114
Saturn,23.2,68
Savoy Affair,11.4,100
Savoy Corpse Reviver,32.6,75
Sazerac,49.7,58
Scarlet O`Hara,33.7,51
Scooby Snack,9.5,88
Scorpion,29.0,102
Scotch Whiskey Skin,39.2,50
Screaming Orgasm,28.1,75
Screaming Viking,29.7,100
Screw-Up,12.7,156
Screwdriver,13.2,150
Sea Breeze,14.4,138
Seasonal Breeze,11.4,311
Seve Ballesteros “Al Rojo Vivo”,15.5,188
Seven and Seven,5.7,175
Sex on the Beach,0.0,25
Shady Grove Cooler,24.7,80
Shamrock Shaker,15.3,120
Shamrock Smoothie,37.7,68
Shamrocked,23.2,75
Sherron Collins,20.4,58
Sherry Cobbler,15.9,112
Shirley Temple,4.1,156
SideCar,26.1,76
Silk Stocking,26.4,75
Silver Bullet,39.2,50
Silver Ghost,15.1,113
Singapore Sling,25.8,92
Ski Lift,22.1,50
Skittle Bomb,3.7,275
Skyscraper Manhattan,36.4,96
Slammer Royale,25.8,100
Slippery Nipple,26.6,30
Smith and Kearns,19.8,100
Smith and Wesson,22.3,100
Sneaky Pete,15.1,150
Snickertini,26.7,81
Snowball,19.5,38
Snowshoe,43.9,40
Soda Shop Cola,0.8,210
Sombrero,39.2,50
Something Blue,12.0,125
Soul Kiss,27.0,102
Soul Manhattan,56.6,71
Soul Trip Tipple,26.8,77
Sour Witch,39.1,70
Southern Bride,28.9,96
Southern Sunrise,10.4,150
Southside,17.7,112
Spanish Coffee,53.8,25
Sparkling Wine Sangria,13.7,882
Spiced Pear Caiprini,18.9,112
Spicy Sangria,15.0,883
Spiders Kiss,30.1,75
Spring Fever,0.0,128
Springbok,22.6,36
St. Paddys Sangria,11.2,891
Star Cocktail,29.4,80
Starry Lime,3.0,62
Staten Island Ferry,10.4,100
Stinger,48.5,65
Stone Fence Cocktail,39.4,52
Stone Sour,11.4,45
Stone Wall,31.5,62
Stoplight,38.3,78
Strawberry  Sangria,7.7,933
Strawberry Daiquiri,19.8,88
Strawberry Flapper,11.8,4
Strawberry Margarita,29.2,68
Strawmerry,21.2,166
Sunburst,38.7,31
Sundowner,5.3,164
Super Fruity Sangria,10.7,910
Super Sleigh,37.0,38
Surfer On Acid,27.5,50
Sweet City,30.6,75
Sweet Sunrise,0.0,101
Tall Black Russian,33.8,70
Tamagozake,15.0,28
Tangerine Margarita,29.7,100
Tartini,19.4,100
Teachers Pet,39.2,50
Tennessee Cowboy,10.3,96
Tequila Sazerac,48.4,75
Tequila Slammer,19.8,100
Tequila Sunrise,15.2,131
Tequila Sunrise Margarita,23.8,125
Tequila Sunset,15.4,150
